review,label
"Mình up dùng rất ok , ko sao cả",1
Đẹp quá . . !,1
Qúa kinh_khủng !,1
nhìn hấp_dẫn quá đi,1
"K những thế đâu , trung_quốc sắp ra thêm note_7 r : ) )",0
"Đang xài 60D , thấy em 80D này sao muốn ly_dị vợ cũ quá : ) ) ) )",1
"Không phủ_nhận các dòng card thế_hệ mới đang hướng đến việc nâng cao trải_nghiệm với độ_phân_giải 4K và VR , tuy_nhiên đôi_lúc chỉ cần max setting ở FullHD là đủ để các game thủ ấm lòng . Và đó là lý_do mà dòng card GTX x60 rất được ưa_chuộng , bởi sự phối_hợp "" hoàn_hảo "" giữa sức_mạnh và giá_cả . Và liệu phiên_bản mới nhất , GTX 1060 có đạt được kỳ_vọng này hay không . Mình sẽ cùng bạn tìm câu trả_lời qua GIGABYTE 1060 G1 GAMING , một trong những phiên_bản custom của GTX 1060 đang được bán rất rộng_rãi tại thị_trường Việt_Nam . Thông_tin về GTX 1060 GTX 1060 là dòng card thứ 3 thuộc thế_hệ GeForce 10 của Nvidia . Nếu_như người anh_em GTX 1080 và 1070 hướng tới phân khúc hiệu_năng cao_giá đắt_đỏ , GTX 1060 tiếp_tục truyền_thống của các dòng card GTX x60 là chăm_sóc cho các bạn game thủ với sức_mạnh vừa_phải mà giá lại cực_kỳ phải_chăng ( ít_nhất là so với các dòng x 70 , x80 ) . Điểm tuyệt_vời đó chính là với GeForce 10 series , Nvidia đã có bước_nhảy_vọt về hiệu_năng cho tất_cả các dòng card của mình . Và GTX 1060 cũng không phải là ngoại_lệ , đặc_biệt là với những phiên_bản custom như GIGABYTE_GTX 1060 G1 GAMING thì hiệu_năng thậm_chí còn được đẩy cao hơn cả mức mặc_định của nhà_sản_xuất . ​ Thông_số kỹ_thuật Tên sản_phẩm : GIGABYTE_GTX 1060 G1 GAMING Chip đồ_hoạ : GeForce GTX 1060 ( Pascal ) Tiến_trình sản_xuất : 16 nm FinFET Số_nhân CUDA : 1920 Xung nhịp : 1620 MHz ( OC ) / 1594 MHz ( Gaming ) Xung nhịp Boost : 1847 MHz ( OC ) / 1810 MHz ( Gaming ) Bộ_nhớ : 6 GB_GDDR5 - 8 GHz Giao_tiếp bộ_nhớ : 192 bit Số cổng kết_nối : 1 DVI - D , 1 HDMI 2.0b , 3 DisplayPort 1.4 Kích_thước : 278 x 114 x 40 Bộ nguồn đề_xuất : 400 W ( 1 đầu cấp nguồn 8 pin ) Giá bán tại Việt_Nam : 8,1 triệu đồng ​ Phiên_bản mình đánh_giá trong bài viết này là GIGABYTE_GTX 1060 G1 GAMING . Kể từ năm_ngoái khi giới_thiệu series XTREME_GAMING , G1 GAMING tuy không còn là dòng cao_cấp nhất của hãng linh_kiện Đài_Loan tuy_nhiên nó vẫn thuộc phân khúc cao_cấp . Do dó bạn có_thể thấy rằng giá của sản_phẩm này là ở mức 8,1 triệu , cao hơn một_chút so với mặt_bằng chung ( 8 triệu ) . Thiết_kế đơn_giản , nối_tiếp phong_cách G1 Khi nói về thiết_kế , series G1 của GIGABYTE được biết đến với sự đơn_giản nhưng lịch_lãm trong thiết_kế . Và phiên_bản lần này cũng không phải là ngoại_lệ với mặt_nạ sử_dụng tông màu đen làm chủ_đạo với các chi_tiết in chìm_nổi khá sang chảnh ( nhưng phải nhìn kỹ mới thấy ) . Ngoài_ra cũng giống như phiên_bản G1 GAMING của 1080/1070 , hãng thiết_kế 4 chi_tiết màu cam nổi_bật , khá giống hình tia chớp . Ở những dòng cao_cấp xài tản WindForce 3X , 4 "" tia chớp "" này xếp thành_hình chữ X , khá giống biển tượng của XTREME Series . Còn ở WindForce 2 X , vị_trí của nó làm chúng_ta có cảm_tưởng như 2 cánh_quạt đang xé gió vậy . ​ Là dòng card tầm trung , do_đó GIGABYTE chỉ trang_bị cho GTX 1060 G1 GAMING hệ_thống tản nhiệt WindForce 2X với 2 cánh_quạt . Có_lẽ do đã quá quen với kiển thiết_kế WindForce 3X ở các dòng cao_cấp , cá_nhân mình thấy nó hơi bị mất cân_đối một_tí . Tuy_nhiên cũng cần phải nhắc lại rằng đây là dòng card tầm trung , bởi_vậy cũng không đòi_hỏi hệ_thống tản nhiệt khủng như những phiên_bản cao_cấp . Tản khủng thì dĩ_nhiên ai cũng khoái , nhưng nếu bớt hoành ( mà hiệu_năng vẫn đủ dùng ) mà giá mềm xuống thì cũng không ảnh_hưởng đến hoà_bình thiên_hạ . Có_chăng là giúp bạn dễ_thở hơn khi sắm mà thôi . Cánh_quạt thiết_kế theo dạng đặc_trưng của WindForce , lá quạt uốn cong với các vân giúp tăng lượng gió và giảm độ ồn . ​ Nhìn từ bên hông , chúng_ta có_thể nhận thấy là tuy vẫn chiếm 2 slot nhưng khối tản nhiệt của GIGABYTE_GTX 1060 G1 GAMING mỏng hơn kha_khá so với phiên_bản GTX 1070/1080 . Nó cũng chỉ sử_dụng 2 ống đồng dẫn_nhiệt , thay_vì 3 so với bản WindForce 3X . Dĩ_nhiên , hiệu_năng tổng_thể sẽ không tốt bằng nhưng về cơ_bản chúng_ta cũng không cần . Trong quá_trình hoạt_động , hệ_thống tản nhiệt của GTX 1060 G1 hoạt_động rất tốt . Chi_tiết thì bạn có_thể xem ở phần đánh_giá hiệu_năng bên dưới . ​ GTX 1060 G1 GAMING cũng được trang_bị ốp lưng . Nếu mình nhớ không nhầm thì năm_ngoái trừ dòng XTREME , không có dòng card tầm trung nào của GIGABYTE có ốp lưng cả . Năm nay thì ngay cả G1 cũng có , nói_chung là giúp cho card trở_nên ngầu hơn , bảo_vệ được các linh_kiện phía sau bo_mạch . Ngoài_ra thì ốp cũng sẽ cho_phép giữa card thẳng , tránh bị cong bo_mạch cho tản quá nặng . Tuy_nhiên mình thấy rằng khối tản nhiệt của dòng này cũng tương_đối nhẹ , nên cũng không quan_trọng lắm . ​ Xu_hướng đèn RGB tiếp_tục tái_xuất ở dòng card tầm trung với logo GIGABYTE và đèn FAN_STOP . Cả 2 đều là đèn LED_RGB , tức_là bạn có_thể thoải_mái dùng phần_mềm XTREME của GIGABYTE để điều_chỉnh màu_sắc cũng_như cách phát sáng theo ý mình . Dòng card này khi nhiệt_độ không quá 50 thì quạt sẽ không quay để giảm độ ồn và tăng tuổi_thọ của quạt . Khi đó thì đèn FAN_STOP sẽ sáng để báo_hiệu cho bạn biết . ​ Ở phiên_bản custom này , GIGABYTE trang_bị cho dòng card của mình 1 cổng cấp nguồn 8 pin thay_vì 6 pin như phiên_bản tiêu_chuẩn . Như_vậy trên lý_thuyết chiếc card này có_thể rút đến 225W điện_năng so với 150W của bản Founders_Edition , giúp nó có khả_năng ép xung tốt hơn . Riêng chiếc mà mình thử_nghiệm trong bài viết này , xung nhịp của nó có_thể lên gần 2000 MHz ( hơn 300 MHz so với mặc_định ) mà chỉ sử_dụng khoảng 70% định_mức điện_năng ( bạn vẫn có_thể tăng lên nếu muốn ) . ​ Một điểm cần lưu_ý là năm GTX 1060 năm nay không hỗ_trợ chạy SLI nhiều card , vì_vậy bạn sẽ thấy sự vắng_mặt của chân cắm SLI . Sự_thật là hiệu_năng của dòng card GTX 1060 năm nay đã được đẩy lên rất nhiều , vì_vậy mình cũng không ngạc_nhiên lắm về quyết_định này của Nvidia . ​ Cũng_như mọi_khi , GIGABYTE_GTX 1060 G1 GAMING vẫn sử_dụng kết_nối PCI Express 3.0 16X . Mặc_định thì khe này sẽ cung_cấp tối_đa 75W điện_năng cho card , phần còn lại thì sẽ do cổng cấp nguồn phụ 8 pin ( tối_đa 150W ) đảm_nhiệm . ​ GIGABYTE_GTX 1060 G1 GAMING được trang_bị 3 cổng DisplayPort 1.4 , 1 HDMI 2.0 và 1 DVI - D . Đây là thiết_lập tiêu_chuẩn của GeForce 10 series , đủ đáp_ứng tốt nhu_cầu của tất_cả các game thủ hiện_nay . Hiệu_năng đáng nể trong phân khúc tầm trung Cấu_hình thử_nghiệm Để đánh_giá hiệu_năng của GIGABYTE_GTX 1060 G1 GAMING , mình sử_dụng 2 bộ_máy với cấu_hình như sau : Bộ 1 : CPU Core i 5-3570K ( Ivy_Bridge / ép xung lên 4,2 GHz ) , main ASUS_Z7 7 - V , 8 GB Corsair_Vengence DDR3-1600 , 120 GB Intel SSD 520 , PSU_FSP Hyper 500W . Bộ 2 : CPU Core i 7-6900K ( Broadwell-E/xung mặc_định 3,2 GHz ) , main MSI_X9 9 GAMING Carbon_Pro , 8 GB Geil DDR4-2400 , 120 GB Intel SSD 520 , PSU Raider 650 W . ​ Bộ 1 là để cấu_hình cân_đối trong phân khúc tầm trung , sẽ là phân khúc mà các bạn game thủ thường lựa_chọn GTX 1060 nhất . Trong khi đó thì bộ 2 là bộ chơi tới nóc , hiệu_năng chỉ giới_hạn bởi chính sức_mạnh của card . Kết_quả thử_nghiệm thì bộ 2 luôn cao hơn bộ 1 trên_dưới 5 fps , tức_là cũng không quá nhiều ( so với số tiền mà bạn phải đầu_tư thêm , chênh_lệch ít_nhất là 30 triệu ) . Nói một_cách đơn_giản , hệ_thống Ivy mà mình thử_nghiệm là tương_đồng với sức_mạnh của GTX 1060 ( trong trường_hợp này là GIGABYTE_GTX 1060 G1 GAMING ) . Như_vậy bạn nào sử_dụng Core i 5 Skylake cũng không cần "" quá "" lo_lắng về chuyện thắt_cổ chai khi dùng chung với GTX 1060 . Bên dưới mình sẽ sử_dụng kết_quả của bộ 1 cho nó gần với hiệu_năng thực_tế mà bạn sẽ thấy được . Một_số lưu_ý về GIGABYTE_GTX 1060 Khi bạn cài ứng_dụng XTREME Engine của GIGABYTE , chế_độ OC mặc_định có_vẻ như tự_động ép xung vượt định_mức công_bố của hãng . Cụ_thể hơn là dù GIGABYTE công_bố xung nhịp Boost của card là 1810 MHz ( ở chế_độ OC ) , thực_tế khi chơi game xung nhịp của card ( đo bằng XTREME Engine lẫn After_Burner ) có_thể lên đến gần 2000 MHz . Hiện_tượng này không_chỉ riêng của GIGABYTE mà mình test card MSI cũng thấy tương_tự , kể_cả các dòng cao_cấp GTX 1070/1080 . ​ Nói_chung là mặc_dù xung nhịp công_bố là 1810 MHz , tuy_nhiên xung nhịp thực_tế khi chạy thì cao hơn kha_khá . Trong phần test bên dưới mình có chụp lại srceenshot , bạn có_thể tham_khảo xung nhịp thực ở góc trái phía trên ( đo bằng Afterburner ) . Tất_cả đều đặt ở thiết_lập hiệu_ứng cao nhất ( nôm_na là max setting ) ở độ_phân_giải FullHD và tắt chế_độ khử răng_cưa ( hoặc bật FXAA nếu có , cái này không làm giảm hiệu_năng nhiều ) . 3DMark Time_Spy ​ Phép thử Time_Spy của 3D Mark được thiết_kế để đánh gía khả_năng đồ_hoạ của card khi chơi các trò được dựng trên nền_tảng DirectX 12 mới nhất . Trong phép thử này thì GIGABYTE_GTX 1060 đạt 4157 điểm đồ_hoạ . Cũng cần lưu_ý là do mình sử_dụng CPU Core i 5 tầm trung nên điểm tổng_thể không cao chỉ 3904 điểm , bộ 2 sử_dụng nền_tảng Broadwell - E điểm lên đến 4578 nhờ CPU mạnh hơn rất nhiều . Fallout 4 ​ Fallout 4 vẫn là một trong những tựa game nhập_vai khủng nhất hiện_nay . Ở độ_phân_giải FullHD , max hết tất_cả hiệu_ứng thì tốc_độ khung hình của GIGABYTE_GTX 1060 dao_động từ 70-80 fps , quá đủ để bạn chơi mượt_mà . Cũng cần lưu_ý là trò này mặc_định luôn V-Sync ở 60 fps để đảm_bảo trải_nghiệm được tốt nhất . Để thử_nghiệm thì mình chỉnh lại file hệ_thống để xem hiệu_năng nó lên được bao_nhiêu thôi , chứ chơi ở tốc_độ khung hình cao thì game rất dễ bị lỗi vật_lý . Rise of the Tomb_Raider ​ Sử_dụng benchmark được tích_hợp , Rise of the Tomb_Raider có điểm_số trung_bình là 82,2 ; vượt hơn kha_khá so với chuẩn 60 fps . Đây là kết_quả sử_dụng DirectX 12 của bạn cập_nhật mới nhất , hiệu_ứng đồ_hoạ Very_High và khử răng_cưa FXAA . Do dựng hình bằng Vulkan , Afterburner không lấy_được thông_số của trò_chơi này . Overwatch ​ GIGABYTE_GTX 1060 G1 GAMING luôn giữ được tốc_độ khung hình trên 100 fps khi chơi Overwatch , dù đánh nhau có dữ_dội đến thế_nào đi_chăng_nữa . Tuy_vậy khi lên 4K thì nó chỉ dao_động trong khoảng 40-50 fps . Nếu bạn muốn chơi mượt ở 4K thì cần giảm hiệu_ứng xuống . Doom ( 2016 ) ​ Doom cho bạn 2 tuỳ chọn là dựng hình bằng DirectX và Vulkan . Đối_với những card mới như Nvidia_Ge Force 10 series ( GTX 1080/1070/1060 ) và AMD Radeon RX series ( RX 480/470 ) thì sử_dụng Vulkan sẽ đem tốc_độ khung hình cao nhất ( tăng gần 20 fps đối_với hệ_thống thử_nghiệm của mình ) . Tốc_độ khung hình luôn dao_động trên 100 fps , nói_chung là cực_kỳ mượt_mà . Cũng giống như Rise of The_Tomb_Raider , khi chuyển qua dựng hình bằng Vulkan thì bạn cũng sẽ không lấy_được thông_tin của card bằng Afterburner nhưng Doom có chế_độ hiển_thị thông_tin tích_hợp sẵn cũng rất chi_tiết . Bạn có_thể thấy GPU 100% nhưng CPU chỉ khoảng 85% , tức_là không bị thắt_cổ chai . Nhiệt_độ hoạt_động , độ ồn và khả_năng ép xung ​ Đây là thông_số mình lấy trong lúc chơi game Fallout 4 , thứ_tự lần_lượt của mục GPU là : định_mức điện tăng tiêu_thụ ( 71% ) , nhiệt_độ ( 58 độ ) , tải ( 100% , full load ) , tốc_độ quạt ( 36% ) và xung nhịp ( 1974 MHz ) . Hệ_thống được test trong môi_trường phòng máy_lạnh đặt ở 20 độ . Nhìn_chung đây là kết_quả rất tốt , độ ồn trong lúc hoạt_động cũng không đáng_kể . Với mức xung nhịp 1974 MHz , chúng_ta có_thể thấy là card vẫn chưa sử_dụng hết hạn_mức điện_năng mà GIGABYTE đặt ra ( còn gần 30% ) và nhiệt_độ cũng rất mát ( 58 độ ) . Về cơ_bản bạn hoàn_toàn có_thể đẩy lên cao hơn_nữa . Dĩ_nhiên , một yếu_tố rất quan_trọng quyết_định khả_năng ép xung là bản_thân của GPU . Bên GIGABYTE họ chỉ đảm_bảo là xung nhịp tối_thiểu là 1810 MHz , đẩy được cao hơn thì sẽ phụ_thuộc vào từng con chip . Kết_luận Vậy ai là đối_tượng của GIGABYTE_GTX 1060 G1 GAMING ? Câu trả_lời là các bạn muốn chơi các trò mới ở độ_phân_giải full HD với mức thiết_lập hiệu_ứng cao nhất , cùng mức chi_phí đầu_tư hợp_lý . 8,1 triệu dành cho GIGABYTE_GTX 1060 G1 GAMING là một_số tiền không nhỏ , tuy_nhiên nó dễ_chịu hơn nhiều so với GTX 1070 ( khoảng 12 triệu ) và GTX 1080 ( khoảng 18 triệu ) . Cũng cần nhắc lại rằng do GTX 1060 không hỗ_trợ SLI , vì_vậy nếu muốn nâng_cấp về sau thì bạn chỉ có cách là thay bằng card mới , chứ không_thể sắm thêm 1 cái nữa chạy SLI . Mình thấy ở Việt_Nam thì ít ai chơi SLI card tầm trung , cho_nên có_lẽ nó cũng không ảnh_hưởng quá nhiều đến độ hấp_dẫn của GTX 1060 . ​ Tóm_lại , về tổng_thể thì GIGABYTE_GTX 1060 G1 GAMING ( và tất_cả các phiên_bản GTX 1060 đang bán trên thị_trường ) là dòng card với tỉ_lệ hiệu_năng / giá_cả rất cao . Hiệu_năng của nó đủ để bạn max setting ở FullHD gần_như tất_cả các trò_chơi mới hiện_nay mà vẫn giữ tốc_độ khung hình tối_thiểu trên 60 ( ngoại_lệ đó là game the Witcher 3 : Wild_Hunt chỉ đạt khoảng 40-50 fps , cũng không đến_nỗi tệ ) . Ở thế_hệ trước , phải đến GTX 970 ( giá vào_khoảng 10 triệu ) thì chúng_ta mới đạt được cấp_độ này . Còn giờ_đây với chỉ 8 triệu , chúng_ta đã có GTX 1060 hiệu_năng tương_đương với GTX 980 thế_hệ trước ( khoảng 12-15 triệu ) theo công_bố của hãng . GTX 1060 hay những dòng cao hơn ? GTX 1060 tạm_thời có_thể xem là dòng card thuộc GeForce 10 series có tỉ_lệ p / p tốt nhất hiện_nay , tuy_nhiên nó không hoàn_hảo . Sức_mạnh của nó chỉ vừa đủ để bạn có_thể trải_nghiệm các trò_chơi ở thiết_lập hiệu_ứng cao nhất với độ_phân_giải FullHD ( 1920x1080 ) , lên QHD ( 2560x1440 ) và 4K ( 3840x2160 ) thì nó chưa_thể đáp_ứng được mức khung hình tối_thiểu 60 fps ( trừ khi bạn hạ hiệu_ứng ) . Đó là lý_do mà GTX 1070 và GTX 1080 vẫn đáng cân_nhắc . Ngay cả khi chơi ở FullHD , sức_mạnh của GTX 1070 và GTX 1080 cũng sẽ cho_phép bạn đỡ phải nâng_cấp phần_cứng ( so với GTX 1060 ) trong tương_lai gần . Nói_chung GTX 1060 có_thể xem là sự lựa_chọn kinh_tế nhất vào thời_điểm hiện_nay , nhưng nó không hẳn là sự lựa_chọn tốt nhất . Mình sẽ có bài so_sánh GTX 1060 với RX 480 , GTX 1060 và GTX 1070 ; mời các bạn đón đọc .  ",0
Nhìn đi nhìn lại vẫn không thấy có gì đáng để mua .,-1
"Chậm là phải rồi . Tui xài cái Macbook_Pro từ 2011 đến giờ vẫn còn chạy ào_ào , iMovie , Photoshop gì êm_ru . Chỉ cần nâng_cấp ổ SSD là lại như cũ à . Bảo sao phải mua cái mới .",1
"Vì i_Pad bền quá , xài 3-5 năm không hư thì làm_sao mà mua mới , kankah",1
"Ơ , hay quá , ma con này về cắm vào i Phone mở_rộng bộ_nhớ tốt quá . Lần sau chỉ cần mua i Phone có dung_lượng thấp nhất 16Gb là đủ dùng rồi .",1
"Đúng vậy . Nhưng bạn nói_thẳng quá , ifans không thích đâu .",0
﻿Mang danh tablet mà có 5.5 inch ai mà mua,-1
Hoan_toan hai_long voi mot trai_nghiem chua tung co voi aw_sport  ,1
"Cái này mà gắn vào camera trước thì hay quá , sao chủ thớt không thử với camera trước nhỉ ?  ",1
"Bác nói đúng . Tôi dùng wiko_getaway được 1,5 năm vẫn rất tốt . Đặc_biệt không xuống màu ở màn_hình cho_dù tôi dùng camera hơi bị nhiều .",1
LG thì hay bị hở nên cũng ngại mua . Còn Samsung thì màn_hình nhìn là thích rồi .,0
cứ như prime_X có tăng độ tương_phản ấy nhỉ  ,1
"﻿Chỉ thích bbos , bb chạy android bây_h giống như Apple sxuat tivi . BBos kho ứng_dụng nghèo_nàn nhưng độ ổn_định cực tốt , tại_sao không bỏ tiền ra phát_triển cái bbos mà phai chạy theo cái hdh mở lởm_chởm , chắp_vá , được cái trực_quan , dễ phát_triển tý chứ android ngốn ram , ngốn đủ thứ ,virus hoành_hành . Android giống như lắp 1 chiếc xe đồ chơi chỉ có 4 cái bánh còn phần trên ai muốn lắp gì cũng dc , được nhiều nguời thích vì nó thị_hiếu , gần giống như nhạc của Sơn_Tùng_MTP . Đó là ý kiến cá_nhân .",1
"2 hãng bảo_mật số 1 , nổ sô 1 và cũng Rớt_giá số 1 . Vâng , chỉ có_thể là BB và vẫn chỉ có_thể là BPhone !",-1
Mua đeo chơi_đẹp chán  ,0
"Thích BB vì kiểu_dáng của nó , ko dụng hàng , nổi_bật giữa đám đông .",1
"CHắc bác chưa bao_giờ bước vào các fab của Samsung bên Hàn hay các fab của các hãng gia_công bán_dẫn toàn thế_giới nên mới comment vậy . Mỹ là đại_ca người quyết_định cho đám đàn_em phát_triển sẽ phát_triển như_thế_nào . Samsung hay hãng nào làm chip nhưng không làm được_cái máy để làm chip . CHỉ có đại_ca Mỹ , Hà_Lan , Đức , Nhật làm ra các máy đó thôi .  ",0
Thường màu trắng bị ám vàng . Mình test mấy chỗ bị ám vàng hết . Màu xanh ít hơn . Các bác nên mang 1 con đt k bị ám vàng đi so_sánh nhé . Ám vàng khó_chịu lắm . E dùng được tuần rùi chưa thấy hiện_tượng gì . Sóng_sánh rất ok . E k dùng 3g nên k dám phán nhưng wifi ổn . Lướt vivu . Có_điều cam chụp buổi tối nó cứ sao ấy . Có vệt như áo caro ấy . Còn chụp ban_ngày thì ok . Máy đẹp . Vừa tay . Bác nào mua muốn dùng ổn_định tốt nhất nên cài room gốc 4.4 . Root cài tiếng việt . Xóa app thừa là ok . Hoặc dùng room sphinx của bác hoangnova . room gốc chỉ fix lỗi . K sửa gì . Rất ok Lưu_ý các bác mua test kỹ nhé . Thật kỹ vào . Khoảng 1 tiếng_là ok . Giờ máy j có 2 loại . 1 là sc 02f của hàn và n 075t của anh đài . Các bác bấm * # 12580 * 369 # kiểm_tra nhé . Nếu nó là n 075t thì cho next lun . Còn 02f hẵng test . Chút kinh_nghiệm cho các bác  ,1
thật_là một bước đột_phá,1
"2 hình đầu thì thấy S7 đẹp hơn , sáng hơn . Nhưng mấy hình chụp trong thành_phố , đặt biệt là có cây_xanh thì X_max lại thể_hiện khả_năng cân_bằng rất tốt . Nhìn màu xanh green trong ánh đèn_vàng thiệt là phê . X_max lại có camera 23mp nên zoom lại mịn hơn , chi_tiết hơn S7 nx . Hàng_Việt_Nam ghê . Like  ",1
Không thấy cái mail notification có chữ FUSA ah ? FPT_USA đó bạn . Bác chủ topic cũng đang xây_dựng VN từ nơi khác đó thôi  ,0
Bao_nhiêu tiền một cái vậy  ,0
"cầm rồi thấy máy thiết_kế đẹp , độ hoàn_thiện cao không như mấy hãng khác cầm mỏng_manh thế_nào . giá chưa đẹp thôi chứ tầm 6tr là mua ok rồi , chê nữa thì chịu",1
"Cấu_hình cao , thiết_kế quá đẹp . Một sản_phẩm đáng mơ_ước .",1
giá mắc quá ai mà mua,-1
Dell là trâu_bò nhất,1
rất tuyệt_vời,1
Tuyệt đấy . Sam_Sung biến ý_tưởng thành sản_phẩm cực nhanh,1
﻿Spectre con nào cũng ngon và đẹp 1 cách kỳ_lạ .,1
Gia xuất_xưởng cũng_như tổng_chi phí lắp_ráp linh_kiện con máy bạn nói chưa tới 350 $ đâu . Hãng bán lời rất cao . Còn con HP này thực_tế chỉ mất 80 $ toàn_bộ thôi . Mà đúng là bỏ 80 $ ra ko thể mua dc 1 con lap viền mỏng dc . Phải chờ thêm 1 tg nữa  ,0
Màu xanh dương đẹp quá ! : ) ),1
Thế_thì bạn thích con Garmin nào thì mua nó về rồi tải app Connect của nó ngay bây h đi . Phiên_bản hiện_tại trên i_OS là 3.8.2 xài với Vivosmart_HR fw 3.30 mình thấy tương_đối ổn ko lỗi_lầm gì nghiêm_trọng .,0
fanryu.bộ nhớ và sóng ngon . mỗi_tội nghe nhạc nhỏ . chưa gỡ app nên ram free tầm 300 nhưng mượt  ,1
"SE tiếp à ? khả_năng "" SẼ_Ế "" là rất cao !",-1
"Xem con_số mà cứ giống 1,5 tỷ , hóa_ra là 1,5 USD = 35k , rẻ thiệt !",1
Cơ_hội cho những_ai yêu Iphone,1
"Quan_trọng là giá ! ! ! ! ! máy bác ơi , nhân đây cho em hỏi giá 950_gtx , 960_gtx và 750_ti hiện là bao_nhiêu để so với thằng Asuck này",0
"mới mua 1 cái Miband , xài với ios . Nhu_cầu mình thì đơn_giản , chỉ cần theo_dõi đi bộ / đá bóng thôi . Còn các thông_báo gì đó mình không cần , tối chỉ cần bật bluethooth vài giây để đồng_bộ qua điện_thoai . Vậy pin chắc cả tháng mới hết",0
Chẳng_lẽ là xấu như vậy_sao ?,-1
Mua bphone còn hơn .,-1
"﻿Đã xài qua Mi_Pulse_1S thì thấy nó có 2 cái dở : 1 là tracking bước chân và activities không chính_xác so với Misfit_Shine , 2 là cực_kỳ hao pin điện_thoại nếu để nó kết_nối Bluetooth thường_trực . Còn một điểm trừ là không coi được giờ . Cái điểm trừ được cải_thiện với Mi_Band 2 nhưng 2 cái kia không biết sao ...  ",-1
"đeo thiết_bị này cẩn_thận nhé , vì rất dễ bị dị_ứng , mẩn đỏ nếu đeo từ sáng đến tối và liên_tục . : ( một nhược_điểm nữa .",-1
"Màu_Xanh mới khá đẹp , tuy_nhiên cụm Camera nó quái_quái thế_nào đó nhìn khó chấp_nhận . Thôi_thì "" tuy em xấu nhưng kết_cấu hoàn_chỉnh "" là được .",0
Không có bạn ạ  ,0
Con này có cái mjk mua luôn dung tốt lắm . Chơi game sướng lắm mỗi_tội pin 2k5 chơi vẵn thỏa_mái,1
"Đẹp , có_thể nói đẹp nhất trong các mẫu điên thoại có trên thị_trường .",1
"﻿Đa_số là sĩ_diện , iphone bền chứ đẹp thì chưa chắc à , từ ip_6 trở đi càng giống đt TQ",-1
Vừa mua xong quá đẹp  ,1
